DATE	GDPC96	GPDIC96	PCECC96
1947-01-01	1770.691	188.675	1130.9
1947-04-01	1767.976	173.485	1149.7
1947-07-01	1766.523	167.924	1153.4
1947-10-01	1793.310	202.712	1153.8
1948-01-01	1821.809	224.682	1159.6
1948-04-01	1855.345	239.489	1173.0
1948-07-01	1865.320	242.053	1174.8
1948-10-01	1868.184	230.008	1184.1
1949-01-01	1842.240	194.233	1186.0
1949-04-01	1835.512	167.057	1204.1
1949-07-01	1856.103	181.690	1206.9
1949-10-01	1838.679	171.768	1224.5
1950-01-01	1912.998	214.858	1244.9
1950-04-01	1971.217	238.901	1265.4
1950-07-01	2048.351	260.418	1330.3
1950-10-01	2084.390	295.027	1290.2
1951-01-01	2110.731	263.917	1321.4
1951-04-01	2145.746	270.439	1284.1
1951-07-01	2188.503	249.543	1299.1
1951-10-01	2192.210	228.293	1306.7
1952-01-01	2214.268	233.627	1309.6
1952-04-01	2216.709	214.227	1335.3
1952-07-01	2231.561	225.626	1341.8
1952-10-01	2305.276	241.811	1389.2
1953-01-01	2348.408	246.627	1405.7
1953-04-01	2366.180	247.460	1414.2
1953-07-01	2351.793	241.654	1411.0
1953-10-01	2314.567	222.626	1401.6
1954-01-01	2303.523	220.749	1406.7
1954-04-01	2306.413	219.991	1425.0
1954-07-01	2332.418	231.237	1444.4
1954-10-01	2379.125	241.873	1474.7
1955-01-01	2447.657	267.675	1507.8
1955-04-01	2488.149	284.591	1536.6
1955-07-01	2521.394	288.662	1555.6
1955-10-01	2535.472	294.916	1575.2
1956-01-01	2523.902	284.997	1577.8
1956-04-01	2543.752	281.763	1583.0
1956-07-01	2540.555	278.458	1586.6
1956-10-01	2582.070	275.169	1608.4
1957-01-01	2597.939	270.733	1619.5
1957-04-01	2591.671	270.368	1622.4
1957-07-01	2616.638	276.824	1635.3
1957-10-01	2589.110	253.694	1636.1
1958-01-01	2519.019	234.847	1613.9
1958-04-01	2534.480	229.288	1627.1
1958-07-01	2593.867	248.199	1653.8
1958-10-01	2654.348	270.587	1675.6
1959-01-01	2708.036	285.852	1706.7
1959-04-01	2776.430	309.726	1732.9
1959-07-01	2773.119	288.171	1751.0
1959-10-01	2782.827	298.264	1752.9
1960-01-01	2845.268	330.513	1769.7
1960-04-01	2831.971	297.065	1792.1
1960-07-01	2836.599	295.294	1785.0
1960-10-01	2800.224	258.817	1787.4
1961-01-01	2816.858	265.434	1786.9
1961-04-01	2869.554	285.203	1813.4
1961-07-01	2915.929	309.097	1822.2
1961-10-01	2975.288	314.313	1858.7
1962-01-01	3028.654	333.053	1878.5
1962-04-01	3062.094	329.832	1901.6
1962-07-01	3090.408	335.734	1917.0
1962-10-01	3097.917	324.463	1944.2
1963-01-01	3138.407	342.468	1957.3
1963-04-01	3177.733	347.458	1976.0
1963-07-01	3237.567	358.789	2002.9
1963-10-01	3262.180	363.205	2019.6
1964-01-01	3335.397	378.139	2059.5
1964-04-01	3373.705	376.401	2095.8
